atr_stop_mult,atr_tp_mult,avg_r,ema_fast,ema_slow,max_drawdown,near_ema_pct,profit_factor,sharpe,total_pnl,trades,win_rate
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.02,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.03,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.05,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.02,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.03,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.05,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.02,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.03,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.05,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.02,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.03,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.05,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.02,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.03,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.05,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,3.0,-0.28286987117375284,13,55,8.91999999999993,0.02,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,55,8.91999999999993,0.03,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
